iter	Logloss
0	0.6148259684
1	0.5435370297
2	0.4887421227
3	0.4319611137
4	0.3836987936
5	0.3377754223
6	0.2982258166
7	0.2656855711
8	0.2325875949
9	0.2015108011
10	0.1797564546
11	0.1594031325
12	0.1429964308
13	0.1277725599
14	0.1147207501
15	0.1028136434
16	0.09217935785
17	0.08370852579
18	0.07582025001
19	0.06829307313
20	0.0616921349
21	0.056042837
22	0.05026139937
23	0.04552969761
24	0.04175824389
25	0.03812493519
26	0.03454268891
27	0.03166474054
28	0.02856631697
29	0.0261549314
30	0.02402376851
31	0.02218887012
32	0.02061493531
33	0.01903528135
34	0.01755129838
35	0.01615225767
36	0.01490575459
37	0.01388346502
38	0.0130046162
39	0.01216474089
40	0.01136418133
41	0.01070587827
42	0.01009130502
43	0.009495561641
44	0.008858372823
45	0.008390253592
46	0.007976383107
47	0.007501021171
48	0.00713822084
49	0.006817695397
50	0.006455440299
51	0.006131500383
52	0.005824372784
53	0.005547874903
54	0.005281443531
55	0.005059743979
56	0.004815314786
57	0.004596825245
58	0.004364946078
59	0.004120832038
60	0.00394655857
61	0.003761321231
62	0.003637959615
63	0.003532331847
64	0.003401680399
65	0.003291794689
66	0.003167018997
67	0.003042282215
68	0.002931044782
69	0.002832556762
70	0.002746102294
71	0.002646635223
72	0.002571821334
73	0.002465294994
74	0.00237766958
75	0.002312896823
76	0.002216897395
77	0.00215707282
78	0.002075160027
79	0.002032859762
80	0.001980876415
81	0.00192901403
82	0.001871837678
83	0.001821661261
84	0.001779082096
85	0.001739998971
86	0.001697577019
87	0.001655210049
88	0.001619271198
89	0.001581501852
90	0.001543679216
91	0.001513496608
92	0.001479870163
93	0.001448139828
94	0.001414995899
95	0.001392091644
96	0.001368561071
97	0.001348453673
98	0.001319202988
99	0.001296892181
100	0.001271815573
101	0.001251095996
102	0.001224369309
103	0.001205678767
104	0.001183141021
105	0.001164322388
106	0.001140942624
107	0.001120608166
108	0.001103438645
109	0.001082469169
110	0.001064454971
111	0.001043610807
112	0.001024926186
113	0.001007088899
114	0.0009940704959
115	0.0009774433678
116	0.0009624406401
117	0.0009507995176
118	0.0009378378487
119	0.0009247544932
120	0.0009132458121
121	0.000901567229
122	0.0008896077519
123	0.0008762530488
124	0.0008629776171
125	0.0008537382628
126	0.0008446233743
127	0.0008319776432
128	0.0008224399333
129	0.000811155049
130	0.0008012089582
131	0.0008012089582
132	0.0007921064559
133	0.0007832760866
134	0.0007740190896
135	0.0007644964847
136	0.0007556732451
137	0.0007455490956
138	0.0007455345343
139	0.0007356417342
140	0.0007261133895
141	0.0007142096803
142	0.0007055540467
143	0.0006951532929
144	0.0006855590296
145	0.0006855465226
146	0.000674931458
147	0.0006749180447
148	0.0006749095859
149	0.0006749101297
150	0.0006651024618
151	0.0006565095444
152	0.0006565095444
153	0.0006565185471
154	0.0006565185471
155	0.0006565185471
156	0.0006565185471
157	0.000656499998
158	0.0006565084569
159	0.0006564983062
160	0.0006564983062
161	0.0006468697242
162	0.0006468598153
163	0.0006468661594
164	0.0006389839058
165	0.0006389839058
166	0.0006389839058
167	0.0006389839058
168	0.000638979193
169	0.0006389801598
170	0.0006389727885
171	0.000638967109
172	0.0006306498895
173	0.0006306550857
174	0.0006306553878
175	0.0006306248755
176	0.0006216879853
177	0.0006216804932
178	0.000621685931
179	0.0006216896771
180	0.0006216896771
181	0.0006216800098
182	0.0006216813995
183	0.0006216742095
184	0.000618856387
185	0.0006188456926
186	0.0006188433967
187	0.0006188448468
188	0.0006188338503
189	0.0006188338503
190	0.0006188290166
191	0.000618824908
192	0.0006188194702
193	0.0006188118573
194	0.0006188149991
195	0.0006188149991
196	0.0006188089571
197	0.0006188101655
198	0.0006104818287
199	0.0006104818287
200	0.0006104832184
201	0.0006104832184
202	0.0006104638839
203	0.0006104719198
204	0.0006104719198
205	0.0006104719198
206	0.0006104654548
207	0.0006104654548
208	0.0006104654548
209	0.0006104654548
210	0.0006104658777
211	0.0006104707114
212	0.0006104628567
213	0.0006030455979
214	0.0006030311575
215	0.0006030357494
216	0.000603025478
217	0.000603025478
218	0.0006030217319
219	0.0006030217319
220	0.0006030278948
221	0.0006030278948
222	0.0006030099499
223	0.0006030172608
224	0.0006030077144
225	0.0006030077144
226	0.0006030077144
227	0.0006030188922
228	0.0006030188922
229	0.0006030043309
230	0.0006030043309
231	0.0006030043309
232	0.0006030015515
233	0.000592694691
234	0.0005926838153
235	0.0005926728188
236	0.0005926629099
